# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
-5.47560296E+00

# df/dalpha_inf [rad]
 1.14429505E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
      13 ,       29 ,  8.84888511E-01 , -1.17926046E+00 ,  2.43295578E-04 ,  1.59890003E-04
      14 ,       29 ,  7.71975212E-01 , -1.20513959E+00 , -1.10252990E-04 ,  8.54843562E-05
      15 ,       29 ,  6.58306506E-01 , -1.22232033E+00 ,  1.88891646E-04 ,  1.29949295E-04
      16 ,       29 ,  5.43843799E-01 , -1.23103477E+00 ,  3.24556532E-04 , -1.05745129E-04
      17 ,       29 ,  4.28494556E-01 , -1.23129290E+00 ,  7.14345820E-05 , -3.71621615E-04
      18 ,       29 ,  3.12163737E-01 , -1.22287491E+00 ,  2.51011020E-04 ,  6.40871616E-05
      19 ,       29 ,  1.94810039E-01 , -1.20532239E+00 , -2.50963713E-04 , -5.84790914E-05
      20 ,       29 ,  7.65141988E-02 , -1.17793223E+00 , -4.51902047E-04 , -8.53710362E-05
      21 ,       29 , -4.24351684E-02 , -1.13976106E+00 , -8.49913422E-05 , -1.25427253E-05
      22 ,       29 , -1.61436099E-01 , -1.08965222E+00 , -2.45621933E-04 ,  6.66316571E-05
      23 ,       29 , -2.79451903E-01 , -1.02630119E+00 , -7.77799429E-06 ,  6.98060734E-05
      24 ,       29 , -3.94886965E-01 , -9.48377287E-01 , -2.49170730E-05 ,  4.26893157E-05
      25 ,       29 , -5.05485993E-01 , -8.54717255E-01 ,  2.37145080E-05 ,  3.98406513E-05
      26 ,       29 , -6.08298179E-01 , -7.44594884E-01 , -4.00142500E-05 , -7.18485761E-06
      27 ,       29 , -6.99758861E-01 , -6.18046732E-01 ,  5.54439689E-05 ,  7.16944973E-06
      28 ,       29 , -7.75937321E-01 , -4.76197142E-01 ,  1.32955295E-04 ,  5.34954656E-05
      29 ,       29 , -8.32967229E-01 , -3.21486567E-01 ,  5.48399725E-04 ,  2.41552339E-04
      30 ,       29 , -8.67611198E-01 , -1.57689380E-01 , -2.45997710E-03 , -3.68151671E-04
      31 ,       29 , -8.77831214E-01 ,  1.03596781E-02 ,  2.49947936E-03 , -3.02294588E-04
      32 ,       29 , -8.63187911E-01 ,  1.77317611E-01 , -6.76876846E-04 ,  3.24016267E-04
      33 ,       29 , -8.24922352E-01 ,  3.38031922E-01 , -8.16067903E-06 ,  5.31219398E-05
      34 ,       29 , -7.65687915E-01 ,  4.88181809E-01 , -1.04738192E-05 ,  3.66117922E-05
      35 ,       29 , -6.89035082E-01 ,  6.24685582E-01 , -1.87004019E-05 ,  3.84178675E-05
      36 ,       29 , -5.98825826E-01 ,  7.45806437E-01 , -1.42019433E-06 ,  6.15717365E-05
      37 ,       29 , -4.98736178E-01 ,  8.51003766E-01 ,  5.41808264E-05 ,  9.50196941E-05
      38 ,       29 , -3.91930524E-01 ,  9.40638859E-01 ,  9.50192698E-06 ,  6.78949334E-05
      39 ,       29 , -2.80914277E-01 ,  1.01564392E+00 ,  5.83353061E-05 ,  6.34895500E-05
      40 ,       29 , -1.67524957E-01 ,  1.07722826E+00 ,  7.48524438E-04 ,  1.95893016E-04
      41 ,       29 , -5.30081100E-02 ,  1.12665511E+00 ,  1.53357990E-04 , -5.25743107E-04
      42 ,       29 ,  6.18684009E-02 ,  1.16509264E+00 ,  7.98398499E-04 ,  6.15682079E-04
      43 ,       29 ,  1.76693461E-01 ,  1.19352707E+00 , -3.80991426E-03 ,  3.78550471E-04
      44 ,       29 ,  2.91302611E-01 ,  1.21272065E+00 , -2.15351187E-03 , -4.85589164E-05
      45 ,       29 ,  4.05685761E-01 ,  1.22319806E+00 ,  8.16884610E-04 , -4.32882873E-04
      46 ,       29 ,  5.19912934E-01 ,  1.22524826E+00 ,  3.73600477E-04 ,  1.62147659E-04
      47 ,       29 ,  6.34074482E-01 ,  1.21893261E+00 ,  1.90653105E-04 , -6.42425507E-05
      48 ,       29 ,  7.48230049E-01 ,  1.20409378E+00 ,  6.38319021E-04 ,  2.06834853E-04
      49 ,       29 ,  8.62359519E-01 ,  1.18036328E+00 ,  1.64061943E-03 , -1.07045137E-05
      50 ,       29 ,  9.76308680E-01 ,  1.14716899E+00 , -9.94582882E-04 ,  4.92990053E-05
      51 ,       29 ,  1.08972281E+00 ,  1.10374794E+00 , -1.46509186E-03 ,  2.11356114E-04
      52 ,       29 ,  1.20196319E+00 ,  1.04917431E+00 ,  3.28660878E-04 , -3.42236105E-06
      53 ,       29 ,  1.31200606E+00 ,  9.82417604E-01 ,  8.81813177E-04 , -3.18412626E-04
      54 ,       29 ,  1.41833176E+00 ,  9.02450680E-01 ,  3.55343451E-05 , -6.86259204E-05
      55 ,       29 ,  1.51882551E+00 ,  8.08428093E-01 , -6.87927085E-05 ,  1.40614042E-05
      56 ,       29 ,  1.61072935E+00 ,  6.99948304E-01 , -3.34770082E-05 , -5.12282075E-05
      57 ,       29 ,  1.69070370E+00 ,  5.77390991E-01 , -1.96908961E-05 , -5.62558376E-06
      58 ,       29 ,  1.75506340E+00 ,  4.42279452E-01 , -9.21072138E-05 , -1.28422482E-04
      59 ,       29 ,  1.80022873E+00 ,  2.97563458E-01 ,  6.44067299E-05 ,  6.50704147E-04
      60 ,       29 ,  1.82335963E+00 ,  1.47677461E-01 , -6.50509769E-04 , -1.44787000E-03
      61 ,       29 ,  1.82303217E+00 , -1.75027879E-03 , -3.16385268E-03 ,  4.25578374E-03
       1 ,       30 ,  1.95085889E+00 , -1.06637334E-03 ,  3.12102470E-03 , -8.97230757E-03
       2 ,       30 ,  1.95145874E+00 , -1.64069357E-01 ,  7.06497010E-05 ,  2.15146742E-04
       3 ,       30 ,  1.92763586E+00 , -3.27176568E-01 ,  6.03852583E-05 , -2.02232735E-06
       4 ,       30 ,  1.88091739E+00 , -4.84808587E-01 , -4.03773704E-05 ,  1.69748559E-05
       5 ,       30 ,  1.81413707E+00 , -6.32573821E-01 , -1.99161583E-05 , -2.31530639E-05
       6 ,       30 ,  1.73080398E+00 , -7.67510500E-01 ,  5.02554831E-06 , -3.09390220E-07
       7 ,       30 ,  1.63452029E+00 , -8.88021183E-01 ,  2.49420625E-05 , -7.02672777E-05
       8 ,       30 ,  1.52856464E+00 , -9.93609458E-01 , -3.37835098E-05 ,  1.78979078E-05
       9 ,       30 ,  1.41566766E+00 , -1.08454369E+00 , -6.35287923E-05 ,  3.40067447E-06
      10 ,       30 ,  1.29794574E+00 , -1.16153919E+00 , -7.24355352E-05 ,  4.18166723E-06
      11 ,       30 ,  1.17693783E+00 , -1.22550459E+00 , -7.65411564E-05 , -2.51454404E-05
      12 ,       30 ,  1.05369404E+00 , -1.27736299E+00 , -7.79736107E-06 , -9.32596308E-05
      13 ,       30 ,  9.28880023E-01 , -1.31793797E+00 ,  2.63984994E-04 ,  2.14889140E-04
      14 ,       30 ,  8.02876624E-01 , -1.34788728E+00 , -2.55657407E-04 ,  1.42854163E-04
      15 ,       30 ,  6.75866423E-01 , -1.36766706E+00 ,  1.21617648E-04 ,  1.29677155E-04
      16 ,       30 ,  5.47906917E-01 , -1.37751278E+00 ,  2.65018382E-04 , -2.71101947E-05
      17 ,       30 ,  4.18994554E-01 , -1.37742765E+00 ,  7.98598505E-05 , -2.87991184E-04
      18 ,       30 ,  2.89126096E-01 , -1.36717397E+00 ,  2.32229721E-04 ,  2.21589979E-05
      19 ,       30 ,  1.58364274E-01 , -1.34626712E+00 , -2.20205519E-04 , -1.89889361E-05
      20 ,       30 ,  2.69140400E-02 , -1.31397584E+00 , -2.14545348E-04 , -1.34822868E-04
      21 ,       30 , -1.04786300E-01 , -1.26933665E+00 , -1.85861161E-04 ,  2.53225344E-05
      22 ,       30 , -2.35958448E-01 , -1.21119377E+00 , -1.60932433E-04 ,  6.48625948E-05
      23 ,       30 , -3.65367436E-01 , -1.13827916E+00 ,  1.57087762E-05 ,  7.18291185E-06
      24 ,       30 , -4.91209503E-01 , -1.04934805E+00 , -9.37619493E-06 ,  4.26944923E-05
      25 ,       30 , -6.11031069E-01 , -9.43381145E-01 ,  2.53103279E-05 ,  3.28741153E-05
      26 ,       30 , -7.21717917E-01 , -8.19852732E-01 , -4.95565871E-06 ,  2.29951411E-05
      27 ,       30 , -8.19600907E-01 , -6.79040315E-01 ,  1.17572682E-05 ,  3.26241348E-05
      28 ,       30 , -9.00717056E-01 , -5.22319111E-01 ,  9.34354559E-05 ,  5.44064652E-05
      29 ,       30 , -9.61232592E-01 , -3.52352995E-01 ,  4.47257754E-04 ,  1.95050652E-04
      30 ,       30 , -9.97976238E-01 , -1.73083525E-01 , -1.91698476E-03 , -1.71366291E-04
      31 ,       30 , -1.00896434E+00 ,  1.05471724E-02 ,  1.94646554E-03 , -2.97123197E-04
      32 ,       30 , -9.93762667E-01 ,  1.93120756E-01 , -5.34697263E-04 ,  2.80029399E-04
      33 ,       30 , -9.53560260E-01 ,  3.69395027E-01 , -1.08089552E-05 ,  4.53718267E-05
      34 ,       30 , -8.90928210E-01 ,  5.34905854E-01 , -1.20923723E-05 ,  2.27132217E-05
      35 ,       30 , -8.09350703E-01 ,  6.86363556E-01 , -1.77106461E-05 ,  1.54706702E-05
      36 ,       30 , -7.12680333E-01 ,  8.21778599E-01 , -5.62786721E-06 ,  2.27735328E-05
      37 ,       30 , -6.04659447E-01 ,  9.40350015E-01 ,  1.94737949E-05 ,  2.93074772E-05
      38 ,       30 , -4.88588846E-01 ,  1.04220741E+00 , -6.18077637E-05 , -5.61645876E-05
      39 ,       30 , -3.67158894E-01 ,  1.12810356E+00 , -9.40972699E-05 , -6.15043609E-05
      40 ,       30 , -2.42414057E-01 ,  1.19912848E+00 ,  3.07311091E-04 ,  1.42086188E-04
      41 ,       30 , -1.15805586E-01 ,  1.25648129E+00 ,  8.19254164E-05 , -1.12779244E-04
      42 ,       30 ,  1.17101801E-02 ,  1.30130909E+00 ,  1.25031703E-03 ,  1.16647327E-04
      43 ,       30 ,  1.39559023E-01 ,  1.33460530E+00 , -1.26745106E-03 ,  1.23979244E-04
      44 ,       30 ,  2.67440340E-01 ,  1.35715370E+00 , -9.88671610E-04 , -9.13066270E-05
      45 ,       30 ,  3.95231661E-01 ,  1.36950349E+00 ,  9.36497875E-04 , -2.64483873E-04
      46 ,       30 ,  5.22908081E-01 ,  1.37196297E+00 ,  2.31782453E-04 , -4.86306268E-05
      47 ,       30 ,  6.50474229E-01 ,  1.36460285E+00 ,  7.52916494E-04 , -1.49780717E-04
      48 ,       30 ,  7.77903992E-01 ,  1.34726376E+00 ,  5.75438018E-04 ,  3.14925149E-05
      49 ,       30 ,  9.05081951E-01 ,  1.31956574E+00 , -4.54975746E-04 , -8.64175721E-05
      50 ,       30 ,  1.03174015E+00 ,  1.28092147E+00 , -2.07788077E-03 ,  1.57046891E-04
      51 ,       30 ,  1.15738463E+00 ,  1.23055863E+00 , -3.14432232E-04 ,  1.25597061E-04
      52 ,       30 ,  1.28120850E+00 ,  1.16756131E+00 ,  4.95112640E-04 , -4.74975265E-05
      53 ,       30 ,  1.40199327E+00 ,  1.09094463E+00 ,  3.26916743E-04 , -1.41858354E-04
      54 ,       30 ,  1.51800874E+00 ,  9.99779842E-01 , -2.46058776E-05 ,  1.74213372E-05
      55 ,       30 ,  1.62693433E+00 ,  8.93385832E-01 , -2.54354132E-05 ,  6.26525644E-06
      56 ,       30 ,  1.72584047E+00 ,  7.71594029E-01 , -2.52255741E-05 , -3.45183896E-05
      57 ,       30 ,  1.81128222E+00 ,  6.35070830E-01 , -9.27060960E-06 , -1.93973294E-05
      58 ,       30 ,  1.87955793E+00 ,  4.85644433E-01 , -6.72970575E-05 , -5.30064892E-05
      59 ,       30 ,  1.92715799E+00 ,  3.26538328E-01 ,  2.28142314E-05 ,  3.75774618E-04
      60 ,       30 ,  1.95136278E+00 ,  1.62386662E-01 , -4.46284559E-04 , -1.44162034E-03
      61 ,       30 ,  1.95085889E+00 , -1.06637334E-03 , -2.52874296E-03 ,  3.38440479E-03
       1 ,       31 ,  2.09700379E+00 , -2.48234792E-04 ,  2.46297274E-03 , -7.84705930E-03
       2 ,       31 ,  2.09802566E+00 , -1.78902560E-01 ,  3.91323753E-05 ,  1.54825474E-04
       3 ,       31 ,  2.07317603E+00 , -3.57946989E-01 ,  5.67806905E-05 ,  9.55870100E-08
       4 ,       31 ,  2.02386041E+00 , -5.31657367E-01 , -3.71842014E-05 ,  2.10441039E-05
       5 ,       31 ,  1.95279135E+00 , -6.95417972E-01 , -4.04282529E-05 ,  5.12069274E-06
       6 ,       31 ,  1.86341069E+00 , -8.45975246E-01 , -4.73854271E-05 ,  4.87563931E-06
       7 ,       31 ,  1.75933877E+00 , -9.81411852E-01 , -4.45798747E-06 ,  5.24162821E-07
       8 ,       31 ,  1.64395964E+00 , -1.10092826E+00 ,  2.34010342E-05 , -6.77883619E-05
       9 ,       31 ,  1.52017632E+00 , -1.20453954E+00 , -6.52528533E-05 ,  1.36878728E-05
      10 ,       31 ,  1.39031537E+00 , -1.29277243E+00 , -5.72735021E-05 ,  1.22772478E-05
      11 ,       31 ,  1.25613613E+00 , -1.36641076E+00 ,  8.15312122E-08 ,  7.96792177E-06
      12 ,       31 ,  1.11889928E+00 , -1.42630539E+00 , -2.83256242E-05 , -1.50094968E-04
      13 ,       31 ,  9.79460012E-01 , -1.47324485E+00 ,  2.78161465E-04 ,  2.31685911E-04
      14 ,       31 ,  8.38364408E-01 , -1.50787369E+00 , -2.31550947E-04 ,  1.62689090E-04
      15 ,       31 ,  6.95938656E-01 , -1.53064372E+00 ,  1.01352225E-04 ,  1.10527457E-04
      16 ,       31 ,  5.52368700E-01 , -1.54178579E+00 ,  2.80851378E-04 ,  7.11115483E-06
      17 ,       31 ,  4.07772898E-01 , -1.54129303E+00 , -4.65438178E-05 , -2.19078167E-04
      18 ,       31 ,  2.62272681E-01 , -1.52891114E+00 ,  1.04465838E-04 , -3.42260968E-05
      19 ,       31 ,  1.16067038E-01 , -1.50413516E+00 , -1.75713399E-04 ,  2.87615934E-06
      20 ,       31 , -3.04840588E-02 , -1.46621652E+00 , -4.91900926E-05 , -8.37721980E-05
      21 ,       31 , -1.76764307E-01 , -1.41418743E+00 , -2.33382215E-04 ,  2.26707492E-05
      22 ,       31 , -3.21794659E-01 , -1.34691353E+00 , -1.54193770E-05 ,  5.26126011E-05
      23 ,       31 , -4.64122856E-01 , -1.26318758E+00 , -2.21984014E-05 ,  3.67571407E-05
      24 ,       31 , -6.01724556E-01 , -1.16187687E+00 ,  8.29839668E-06 ,  4.96844493E-05
      25 ,       31 , -7.31942263E-01 , -1.04213139E+00 ,  1.07346602E-05 ,  2.09770404E-05
      26 ,       31 , -8.51498205E-01 , -9.03647534E-01 , -6.41153641E-06 , -1.27143642E-06
      27 ,       31 , -9.56621221E-01 , -7.46959900E-01 ,  1.99558610E-05 ,  3.55511520E-06
      28 ,       31 , -1.04331752E+00 , -5.73705578E-01 ,  6.87782312E-05 ,  3.96962089E-05
      29 ,       31 , -1.10778386E+00 , -3.86780536E-01 ,  3.44905021E-04 ,  1.31014427E-04
      30 ,       31 , -1.14690990E+00 , -1.90303753E-01 , -1.46334144E-03 , -1.19873798E-04
      31 ,       31 , -1.15876126E+00 ,  1.06611173E-02 ,  1.48578735E-03 , -2.74016699E-04
      32 ,       31 , -1.14290765E+00 ,  2.10603504E-01 , -4.16498550E-04 ,  2.41189532E-04
      33 ,       31 , -1.10048966E+00 ,  4.04175592E-01 , -1.17287505E-05 ,  3.69384146E-05
      34 ,       31 , -1.03400181E+00 ,  5.86757875E-01 , -1.02290308E-05 ,  1.10334739E-05
      35 ,       31 , -9.46865612E-01 ,  7.54843918E-01 , -1.35883244E-05 ,  2.15926066E-06
      36 ,       31 , -8.42923724E-01 ,  9.06182411E-01 , -5.09848382E-06 ,  4.34017041E-06
      37 ,       31 , -7.25981214E-01 ,  1.03969884E+00 ,  9.91701632E-06 ,  1.20352869E-05
      38 ,       31 , -5.99472152E-01 ,  1.15527202E+00 ,  8.51402347E-05 ,  3.42697645E-05
      39 ,       31 , -4.66272764E-01 ,  1.25345110E+00 ,  5.03776036E-05 , -5.10979808E-06
      40 ,       31 , -3.28641738E-01 ,  1.33518000E+00 ,  1.63105367E-04 ,  2.04490326E-04
      41 ,       31 , -1.88250224E-01 ,  1.40156742E+00 ,  7.41695062E-05 ,  1.66568066E-04
      42 ,       31 , -4.62633975E-02 ,  1.45371582E+00 ,  9.61430140E-05 , -4.21379334E-04
      43 ,       31 ,  9.65563192E-02 ,  1.49260652E+00 , -4.41059118E-04 ,  9.91355001E-05
      44 ,       31 ,  2.39743816E-01 ,  1.51903043E+00 , -8.63407720E-04 , -6.82157162E-06
      45 ,       31 ,  3.83033842E-01 ,  1.53355163E+00 ,  1.06345141E-04 , -1.43210673E-04
      46 ,       31 ,  5.26274955E-01 ,  1.53649266E+00 ,  3.14896572E-04 , -2.21676294E-04
      47 ,       31 ,  6.69353837E-01 ,  1.52793285E+00 ,  9.23120204E-04 , -5.94057710E-05
      48 ,       31 ,  8.12126226E-01 ,  1.50771431E+00 ,  4.73917696E-04 , -8.75693057E-05
      49 ,       31 ,  9.54349402E-01 ,  1.47545372E+00 , -4.67035881E-04 ,  1.21554041E-04
      50 ,       31 ,  1.09561092E+00 ,  1.43056155E+00 , -8.19659931E-04 ,  1.84931926E-04
      51 ,       31 ,  1.23524938E+00 ,  1.37227432E+00 ,  9.25493511E-05 , -5.98476350E-05
      52 ,       31 ,  1.37226569E+00 ,  1.29970930E+00 ,  3.70501605E-04 , -1.25402893E-04
      53 ,       31 ,  1.50522879E+00 ,  1.21195463E+00 ,  9.00699062E-05 , -6.07883097E-05
      54 ,       31 ,  1.63218781E+00 ,  1.10820923E+00 , -2.69894221E-05 ,  1.33127833E-05
      55 ,       31 ,  1.75061445E+00 ,  9.87984288E-01 , -1.41916098E-05 , -3.48952733E-06
      56 ,       31 ,  1.85741219E+00 ,  8.51366988E-01 , -2.36770305E-05 , -2.15740406E-05
      57 ,       31 ,  1.94903800E+00 ,  6.99325504E-01 ,  8.56072395E-07 , -2.45323515E-05
      58 ,       31 ,  2.02177823E+00 ,  5.34000809E-01 , -4.31739214E-05 ,  4.71975079E-06
      59 ,       31 ,  2.07219117E+00 ,  3.58895470E-01 , -3.66472302E-06 ,  1.56987803E-04
      60 ,       31 ,  2.09766974E+00 ,  1.78853018E-01 , -2.47783814E-04 , -1.37466489E-03
      61 ,       31 ,  2.09700379E+00 , -2.48234792E-04 , -2.04530005E-03 ,  2.67606661E-03
       1 ,       32 ,  2.26387679E+00 ,  7.10630924E-04 ,  1.91389476E-03 , -6.80953780E-03
       2 ,       32 ,  2.26531329E+00 , -1.95466562E-01 ,  1.68604705E-05 ,  1.24206066E-04
       3 ,       32 ,  2.23921455E+00 , -3.92326348E-01 ,  5.05911109E-05 , -5.03984456E-06
       4 ,       32 ,  2.18687164E+00 , -5.83978292E-01 , -3.27599509E-05 , -1.02186949E-05
       5 ,       32 ,  2.11088411E+00 , -7.65568677E-01 ,  9.98590676E-06 , -1.30076529E-05
       6 ,       32 ,  2.01463010E+00 , -9.33542212E-01 , -1.40530526E-05 , -1.43089873E-05
       7 ,       32 ,  1.90174617E+00 , -1.08564970E+00 ,  8.22230003E-06 , -7.54384268E-06
       8 ,       32 ,  1.77571757E+00 , -1.22077038E+00 ,  3.47735641E-05 , -5.84095716E-05
       9 ,       32 ,  1.63961788E+00 , -1.33864111E+00 , -5.50559188E-05 ,  2.04450963E-05
      10 ,       32 ,  1.49598801E+00 , -1.43957040E+00 , -5.08321517E-05 ,  1.99889739E-05
      11 ,       32 ,  1.34681957E+00 , -1.52418618E+00 , -2.62513248E-05 ,  1.25009983E-05
      12 ,       32 ,  1.19360316E+00 , -1.59323767E+00 ,  4.41910695E-05 , -1.01508318E-04
      13 ,       32 ,  1.03740924E+00 , -1.64745281E+00 ,  2.23096132E-04 ,  1.89625385E-04
      14 ,       32 ,  8.78979544E-01 , -1.68744247E+00 , -1.88296532E-04 ,  1.41581088E-04
      15 ,       32 ,  7.18817357E-01 , -1.71363929E+00 ,  8.86635621E-05 ,  7.34026870E-05
      16 ,       32 ,  5.57272392E-01 , -1.72626024E+00 ,  3.66362213E-04 ,  1.41284382E-06
      17 ,       32 ,  3.94621024E-01 , -1.72528458E+00 , -9.99551199E-05 , -1.83814802E-04
      18 ,       32 ,  2.31145428E-01 , -1.71044302E+00 , -3.77084855E-08 , -5.70392972E-05
      19 ,       32 ,  6.72160642E-02 , -1.68121740E+00 , -1.92630788E-04 , -2.77489882E-05
      20 ,       32 , -9.66186880E-02 , -1.63685433E+00 , -5.41546729E-05 , -4.11134444E-05
      21 ,       32 , -2.59534140E-01 , -1.57639952E+00 , -2.24588266E-04 ,  1.02455903E-05
      22 ,       32 , -4.20324471E-01 , -1.49876255E+00 ,  6.46087498E-06 , -5.87681871E-06
      23 ,       32 , -5.77299788E-01 , -1.40282290E+00 , -1.36813251E-05 ,  1.56938137E-05
      24 ,       32 , -7.28201331E-01 , -1.28758716E+00 ,  1.21468104E-05 ,  2.91772475E-05
      25 ,       32 , -8.70160180E-01 , -1.15240061E+00 , -8.42362190E-06 ,  1.85995394E-05
      26 ,       32 , -9.99732271E-01 , -9.97204081E-01 , -1.74236583E-05 , -6.13761512E-06
      27 ,       32 , -1.11304362E+00 , -8.22806620E-01 ,  2.50229588E-05 ,  8.10745627E-06
      28 ,       32 , -1.20606765E+00 , -6.31120330E-01 ,  6.99626267E-05 ,  2.52072225E-05
      29 ,       32 , -1.27502669E+00 , -4.25285052E-01 ,  2.65547051E-04 ,  9.47719086E-05
      30 ,       32 , -1.31686427E+00 , -2.09611064E-01 , -1.11158282E-03 , -6.19040233E-05
      31 ,       32 , -1.32968934E+00 ,  1.06986661E-02 ,  1.11462010E-03 , -2.40079821E-04
      32 ,       32 , -1.31307411E+00 ,  2.30020976E-01 , -3.17438702E-04 ,  2.07225702E-04
      33 ,       32 , -1.26811477E+00 ,  4.42883029E-01 , -1.06972174E-05 ,  2.78240443E-05
      34 ,       32 , -1.19723612E+00 ,  6.44494282E-01 , -7.57616922E-06 ,  1.05496814E-06
      35 ,       32 , -1.10380288E+00 ,  8.31119349E-01 , -1.10916739E-05 , -4.25550761E-06
      36 ,       32 , -9.91650188E-01 ,  1.00023336E+00 , -6.07558160E-06 ,  3.74304539E-06
      37 ,       32 , -8.64645478E-01 ,  1.15047331E+00 ,  8.31238935E-06 ,  2.51803688E-05
      38 ,       32 , -7.26355771E-01 ,  1.28144711E+00 ,  4.81430340E-05 ,  6.04696398E-05
      39 ,       32 , -5.79846194E-01 ,  1.39347536E+00 ,  3.95523921E-05 ,  4.99905025E-05
      40 ,       32 , -4.27598438E-01 ,  1.48732817E+00 , -5.83702491E-06 ,  7.34298970E-05
      41 ,       32 , -2.71518992E-01 ,  1.56399599E+00 ,  3.90310330E-04 ,  2.03786820E-04
      42 ,       32 , -1.13003594E-01 ,  1.62451119E+00 , -2.50037924E-04 , -4.41748188E-04
      43 ,       32 ,  4.69702504E-02 ,  1.66982157E+00 ,  7.89022912E-06 ,  2.01607528E-04
      44 ,       32 ,  2.07742255E-01 ,  1.70070860E+00 , -5.29871435E-04 ,  1.57630595E-05
      45 ,       32 ,  3.68871180E-01 ,  1.71773992E+00 , -3.38368724E-04 , -5.76323988E-05
      46 ,       32 ,  5.30044317E-01 ,  1.72124625E+00 ,  1.38935401E-04 , -2.03804582E-04
      47 ,       32 ,  6.90994913E-01 ,  1.71131455E+00 ,  6.76590594E-04 ,  2.08988299E-04
      48 ,       32 ,  8.51425006E-01 ,  1.68779262E+00 ,  4.64426698E-04 , -4.23918422E-07
      49 ,       32 ,  1.01092974E+00 ,  1.65030326E+00 , -5.11968192E-04 ,  1.41658142E-04
      50 ,       32 ,  1.16891907E+00 ,  1.59826969E+00 , -2.42315165E-04 ,  9.31066016E-05
      51 ,       32 ,  1.32453411E+00 ,  1.53095769E+00 ,  3.42557611E-04 , -1.01887091E-04
      52 ,       32 ,  1.47655830E+00 ,  1.44754312E+00 ,  2.04745757E-04 , -7.92086835E-05
      53 ,       32 ,  1.62332908E+00 ,  1.34721610E+00 ,  6.42323970E-07 ,  1.75147273E-06
      54 ,       32 ,  1.76266357E+00 ,  1.22933360E+00 , -1.42346106E-05 ,  2.37891397E-06
      55 ,       32 ,  1.89182199E+00 ,  1.09362751E+00 , -1.04842696E-05 , -5.27315355E-06
      56 ,       32 ,  2.00754273E+00 ,  9.40464137E-01 , -2.28633641E-05 , -1.62141100E-05
      57 ,       32 ,  2.10618835E+00 ,  7.71129878E-01 ,  6.57265719E-06 , -1.77119324E-05
      58 ,       32 ,  2.18403408E+00 ,  5.88089159E-01 , -2.33987504E-05 ,  2.19390925E-05
      59 ,       32 ,  2.23770141E+00 ,  3.95133083E-01 , -1.05063921E-05 ,  1.02157108E-05
      60 ,       32 ,  2.26468693E+00 ,  1.97328727E-01 , -7.89120581E-05 , -1.21611363E-03
      61 ,       32 ,  2.26387679E+00 ,  7.10630924E-04 , -1.69302812E-03 ,  2.37171068E-03
       1 ,       33 ,  2.45419374E+00 ,  1.81666569E-03 ,  1.47854170E-03 , -5.83499206E-03
       2 ,       33 ,  2.45603503E+00 , -2.14036302E-01 , -3.89930874E-06 ,  1.11300848E-04
       3 ,       33 ,  2.42842932E+00 , -4.30871262E-01 ,  5.27495619E-05 , -2.59540097E-06
       4 ,       33 ,  2.37256038E+00 , -6.42605483E-01 , -1.64193441E-05 , -1.57668398E-06
       5 ,       33 ,  2.29092388E+00 , -8.44128551E-01 , -1.22746486E-05 ,  6.82154653E-06
       6 ,       33 ,  2.18684022E+00 , -1.03156905E+00 , -2.56154299E-05 ,  3.93625557E-07
       7 ,       33 ,  2.06396361E+00 , -1.20233068E+00 , -2.58466147E-05 , -4.88132000E-06
       8 ,       33 ,  1.92587976E+00 , -1.35495139E+00 , -4.44065634E-06 , -6.53960132E-06
       9 ,       33 ,  1.77583388E+00 , -1.48886372E+00 , -3.57665498E-06 , -1.79819315E-05
      10 ,       33 ,  1.61658759E+00 , -1.60412741E+00 , -3.94441759E-05 ,  5.89357855E-06
      11 ,       33 ,  1.45037828E+00 , -1.70118213E+00 , -2.36785340E-05 ,  4.58374288E-06
      12 ,       33 ,  1.27894749E+00 , -1.78064433E+00 ,  5.97652602E-05 , -6.42066419E-05
      13 ,       33 ,  1.10360849E+00 , -1.84315383E+00 ,  1.56160544E-04 ,  1.34075850E-04
      14 ,       33 ,  9.25331342E-01 , -1.88926534E+00 , -1.39932321E-04 ,  1.05394801E-04
      15 ,       33 ,  7.44832771E-01 , -1.91937568E+00 ,  1.03542202E-04 ,  3.45080342E-05
      16 ,       33 ,  5.62664795E-01 , -1.93367746E+00 ,  2.69588948E-04 ,  1.66445262E-05
      17 ,       33 ,  3.79301377E-01 , -1.93213186E+00 , -5.75647323E-05 , -2.97002259E-05
      18 ,       33 ,  1.95224979E-01 , -1.91445658E+00 , -1.95627012E-05 , -2.84954930E-05
      19 ,       33 ,  1.10159962E-02 , -1.88012831E+00 , -1.25390186E-04 , -7.30165378E-05
      20 ,       33 , -1.72552525E-01 , -1.82840294E+00 , -7.63134452E-05 , -6.46111949E-06
      21 ,       33 , -3.54414721E-01 , -1.75835933E+00 , -1.30936927E-04 ,  6.44430397E-05
      22 ,       33 , -5.33109990E-01 , -1.66897521E+00 , -2.56169199E-05 ,  3.91977483E-05
